"id";"name";"iconPath";"website"
1;"Unknown";"icons/factory/factory24.png";""
6;"Microchip";"microchip.jpg";"http://microchip.com"
7;"Texas Instruments";"ti_logo.png";"http://www.ti.com/"
8;"ST Microelectronics";"";""
9;"Nordic";"nordicsemiconductor.png";"http://www.nordicsemi.com/"
10;"Maxim Integrated";"maxim.png";"https://www.maximintegrated.com/en.html"
11;"Kingbright";"kb_logo.png";"http://www.kingbright-europe.com/"
12;"FTDI Chip";"ftdi_logo.png";"http://www.ftdichip.com/"
13;"Lelon";"lelon_logo.png";"http://www.lelon.com.tw/en/"
14;"Molex";"molex_logo.png";"https://molex.com"
15;"CUI";"cui-logo-nav.png";""
16;"MG Chemicals";"mg_logo.gif";""
17;"TE Connectivity";"te_connectivity_logo.png";""
18;"TT electronics";"TT_electronics_logo.jpeg";""
19;"Rectron";"rectron_logo.png";""
20;"MCC";"mcc_logo.jpeg";""
21;"WÃ¼rth Electronik";"wurth_logo.png";""
22;"Infineon";"infineon_logo.png";""
23;"Fairchild Semiconductor";"fairchild_logo.jpeg";""
24;"Amphenol FCi";"amphenol_logo.png";"www"
25;"Linear Technology";"LINEAR_TECH_LOGO.jpg";""
26;"ON Semiconductors";"on_semiconductors_logo.jpeg";""
27;"Littelfuse";"Littelfuse_logo.png";""
28;"ALPS";"alps_logo.png";"www.com"
29;"EDAC";"edac_logo.png";""
30;"AVX";"AVX.png";""
31;"ATC";"atc.png";""
32;"ABRACON";"abracon.png";""
33;"Johanson Dielectrics";"Johanson-Dielectrics.png";"https://www.johansondielectrics.com/"
34;"Murata Electronics";"murataelectronics.png";""
35;"Vishay";"Vishay-Dale.png";""
36;"Digi International";"digi-international.png";""
37;"Linx Technologies";"linx.png";""
38;"NXP Semiconductors";"nxp-semiconductors.png";""
39;"Seeed Studio";"seeedstudio.png";""
40;"3M Elecronic Solutions Division";"3mesd.png";""
41;"Harwin";"harwin.png";""
42;"Apem";"apem.png";""
43;"ROHM";"rohmsemiconductor.png";""
44;"Raspberry Pi";"raspberry-pi.png";""
45;"Velleman";"";""
46;"InterSil";"";""
47;"Analog Devices";"";""
49;"Traco Power";"";""
50;"Phoenix Contact";"Phoenix-Contact.png";""
51;"Lumberg";"/home/waldo/Documents/Geeken/Projects/InventoryApp/Images/DistributorLogos/lumberg.jpg";""
